"","country","ccode","year","month","dates","elecViolence1","l.elecViolence1","elecViolence2","l.elecViolence2","anticipation","regimetenure","lastelection","pcgdp","growth","logIMR","lnpop2","logpredict","SPI","lexconst","lpolity2","lpolcomp","tae1","nvio1","tae2","nvio2","political_violence"
"798","Azerbaijan",373,1993,10,"10/3/1993","peace",0,"peace",0,1,5,0,174.875,1.093166947,4.333361626,79.76333618,0.00949927,0.25709498,3,1,6,2,0,2,0,5.99220371246338
"799","Azerbaijan",373,1998,10,"10/11/1998","peace",1,"peace",1,1,65,0,540.8519897,1.069792986,4.220977306,80.71717834,0.008889468,-0.84622547,2,-6,3,1,2,1,2,-0.217850208282471
"800","Azerbaijan",373,2003,10,"10/15/2003","vio",0,"peace",0,1,3,0,863.8079834,1.154345155,3.906004906,81.60108185,0.002571674,1.121083152,2,-7,2,4,2,4,2,-0.360058277845383
"801","Azerbaijan",373,2008,10,"10/15/2008","vio",0,"vio",0,1,63,0,5212.830078,1.386656523,3.618993282,82.78826141,0.00143631,-0.360700777,2,-7,2,2,4,2,3,-0.357629328966141
"802","Azerbaijan",373,2013,10,"10/9/2013","vio",1,"vio",1,1,123,0,7936.510254,1.062199473,3.401197433,83.75954822,0.000856381,-0.589402281,2,-7,2,1,6,1,5,-0.223527655005455
"803","Azerbaijan",373,1995,11,"11/26/1995","vio",1,"vio",1,1,30,0,312.8420105,1.052765965,4.320151329,80.23654175,0.004866966,-0.332096477,3,-3,6,1,1,1,1,5.36439800262451
"804","Azerbaijan",373,1995,11,"11/12/1995","vio",0,"vio",0,1,30,0,312.8420105,1.052765965,4.320151329,80.23654175,0.004866966,-0.332096477,3,-3,6,3,0,3,0,5.36439800262451
"805","Azerbaijan",373,2000,11,"11/5/2000","peace",0,"peace",0,0,90,3.258096457,647.8369751,1.133559108,4.104294777,81.01917267,0.003589803,0.827442569,2,-7,2,2,2,2,2,-0.356414824724197
"806","Azerbaijan",373,2005,11,"11/6/2005","vio",1,"vio",0,0,28,3.258096457,1537.900024,1.50886941,3.784189701,82.05145264,0.001331974,-0.177770129,2,-7,2,1,3,5,2,-0.358438968658447
"807","Azerbaijan",373,2010,11,"11/7/2010","vio",1,"vio",1,0,88,3.044522524,5847.259766,1.185248971,3.523415089,83.27909851,0.001059652,0.676529404,2,-7,2,1,5,1,4,-0.355595320463181
"808","Azerbaijan",373,2015,11,"11/1/2015","vio",1,"vio",1,0,148,3.258096457,5396.410156,0.670463145,3.328626633,84.04677233,0.000777163,0.547652381,2,-7,2,1,7,1,6,-0.217455238103867
"809","Azerbaijan",373,2018,4,"4/11/2018","peace",1,"peace",1,1,177,0,4438.97998,1.083317399,3.328626633,84.47868808,0.000989355,-0.120146216,2,-7,2,1,8,1,7,-0.204249069094658
"810","Azerbaijan",373,2006,5,"5/13/2006","peace",1,"peace",1,0,34,3.465735912,2414.909912,1.570264578,3.725693464,82.29013824,0.001111144,-0.403186151,2,-7,2,1,4,1,3,-0.22190834581852
"811","Azerbaijan",373,1992,6,"6/7/1992","peace",0,"peace",0,1,1.5,0,159.970993,0.691285014,4.330733299,79.4871521,0.015125685,-0.266310757,3,-3,6,1,0,1,0,-0.140484213829041
"812","Finland",375,1978,1,"1/15/1978","peace",0,"peace",0,1,263,0,7292.233398,1.076555848,2.091864109,71.67502594,0.000804304,-0.011976227,7,10,10,2,0,2,0,-0.360058277845383
"813","Finland",375,1982,1,"1/17/1982","peace",0,"peace",0,1,5,0,8778.570313,0.977273107,1.871802211,71.94455719,0.000313118,1.578559343,7,10,10,4,0,4,0,-0.360058277845383
"814","Finland",375,1988,1,"1/31/1988","peace",0,"peace",0,1,77,0,18167.61914,1.149841309,1.757857919,72.38071442,0.000731311,-0.359542277,7,10,10,7,0,7,0,-0.360058277845383
"815","Finland",375,1994,1,"1/16/1994","peace",0,"peace",0,1,149,0,21534,1.064852476,1.504077435,72.83796692,0.000594816,-0.668224246,7,10,10,9,0,9,0,-0.360058277845383
"816","Finland",375,2000,1,"1/16/2000","peace",0,"peace",0,1,71,0,24347.4707,0.927778244,1.252762914,73.12768555,3.37e-05,-0.186419671,7,10,10,13,0,13,0,-0.360058277845383
"817","Finland",375,2006,1,"1/15/2006","peace",0,"peace",0,0,32,3.555348158,41240.44922,1.054565549,1.064710736,73.43128204,6.52e-05,0.326848836,7,10,10,16,0,16,0,-0.360058277845383
"818","Finland",375,2006,1,"1/29/2006","peace",0,"peace",0,0,32,3.555348158,41240.44922,1.054565549,1.064710736,73.43128204,6.52e-05,0.326848836,7,10,10,17,0,17,0,-0.360058277845383
